1	1-1	[0:1]	[0:1]	Table of contents	Table des matières	0.6852
660	1-1*	[474:476]|subS[2:3/3]	[476:478]|subT[2:3/3]	The new government is taking action to make Canada's investment environment more competitive than the U. S.	Le nouveau gouvernement agit pour rendre le Canada plus concurrentiel que les États-Unis en matière d'investissements.	0.5415
661	1-1	[476:477]	[478:479]	Budget 2025 proposes to introduce immediate expensing for manufacturing or processing buildings that are acquired on or after Budget Day and that are used for manufacturing or processing before 2030. This measure would be phased out over a four-year period between 2030 and 2033.	Le budget de 2025 propose de permettre la passation en charges immédiate du coût des bâtiments servant à la fabrication ou à la transformation qui sont acquis à compter du jour du dépôt du budget et qui serviront à la fabrication ou à la transformation avant 2030. Cette mesure serait éliminée progressivement sur une période de quatre ans, de 2030 à 2033.	0.6560
662	1-1*	[477:479]|subS[0:1/3]	[479:481]|subT[0:1/3]	The accelerated capital cost allowances (CCAs) for liquefied natural gas (LNG) equipment and related buildings expired at the end of 2024.	Les déductions pour amortissement accéléré (DPA accéléré) pour l'équipement de gaz naturel liquéfié (GNL) et des immeubles connexes ont expiré à la fin de 2024.	0.5604
663	1-1*	[477:479]|subS[1:2/3]	[479:481]|subT[1:2/3]	The measures increased the CCA rate for liquefaction equipment from 8 per cent to 30 per cent and for non-residential buildings used in LNG facilities from 6 per cent to 10 per cent.	Ces mesures permettaient d'augmenter le taux de DPA de l'équipement de liquéfaction de 8 % à 30 %, et de 6 % à 10 % pour les immeubles non résidentiels utilisés dans les installations de GNL.	0.5377
664	1-1*	[477:479]|subS[2:3/3]	[479:481]|subT[2:3/3]	Budget 2025 proposes reinstating accelerated CCAs for LNG equipment and related buildings, but only for low-carbon LNG facilities.	Le budget de 2025 propose de rétablir les DPA accéléré pour l'équipement de gaz naturel liquéfié (GNL) et des immeubles connexes, mais seulement pour les installations de GNL à faible teneur en carbone.	0.5273
665	1-1*	[479:481]|subS[0:1/3]	[481:483]|subT[0:1/2]	To be eligible for an accelerated CCA, a facility would need to meet new high standards of emissions performance.	Pour être admissible à une DPA accéléré, l'installation devra répondre à de nouvelles normes de rendement en matière d'émissions.	0.4666
666	2-1*	[479:481]|subS[1:3/3]	[481:483]|subT[1:2/2]	Two levels of support would be available, which will depend on the emissions performance of a facility: Facilities that are in the top 25 per cent in terms of emissions performance would be eligible for accelerated CCAs with the same rates as the previous measures (30 per cent for liquefaction equipment and 10 per cent for non-residential buildings used in LNG facilities).	Deux niveaux de soutien seront offerts qui dépendront du rendement de l'installation en matière d'émissions : Les installations dont le rendement en matière d'émissions se situe dans la tranche supérieure de 25 % seraient admissibles aux DPA accéléré aux mêmes taux que ceux qui étaient offerts par les mesures précédentes (soit 30 % pour l'équipement de liquéfaction et 10 % pour les immeubles non résidentiels utilisés dans les installations de GNL).	0.6281
667	1-1	[481:482]	[483:484]	Facilities that are in the top 10 per cent in terms of emissions performance would be eligible for accelerated CCAs of 50 per cent for liquefaction equipment and 10 per cent for non-residential buildings used in LNG facilities.	Les installations dont le rendement en matière d'émissions se situe dans la tranche supérieure de 10 % seraient admissibles aux DPA accéléré de 50 % pour l'équipement de liquéfaction et de 10 % pour les immeubles non résidentiels dans les installations de GNL.	0.5900
668	1-1	[482:483]	[484:485]	Details regarding the new emissions performance requirements for these additional allowances will be provided at a later date. These measures would apply to property acquired on or after Budget Day and before 2035.	Les détails sur les nouvelles exigences de rendement en matière d'émissions pour ces DPA supplémentaires seront fournis à une date ultérieure. Ces mesures s'appliqueraient aux biens acquis à compter de la date de dépôt du budget et avant 2035.	0.5903
669	1-1	[483:484]	[485:486]	Collectively, these new and previously proposed measures form a Productivity Super-Deduction that will accelerate the type of business investment that will drive productivity growth in Canada.	Ensemble, ces nouvelles mesures et celles déjà annoncées forment une superdéduction à la productivité qui accélérera ce genre d'investissements privés porteurs de croissance au Canada.	0.6094
670	2-2	[484:486]	[486:488]	3. Canada's Corporate Tax Advantage The marginal effective tax rate (METR) provides a comprehensive indicator of how one dollar of additional business investment is taxed—a comparable indicator of tax competitiveness across countries that considers national and sub-national corporate tax rates, as well as investment tax credits, capital cost allowances, and sales and capital taxes.	3. L'avantage fiscal du Canada pour les entreprises Le taux effectif marginal d'imposition (TEMI) brosse un tableau complet de l'ensemble des impôts et des taxes applicables à chaque dollar d'investissement additionnel des entreprises. Il s'agit d'un indicateur de la compétitivité fiscale comparable entre les pays, qui tient compte des taux d'imposition des sociétés, aux niveaux national et infranational, ainsi que des crédits d'impôt à l'investissement, des déductions pour amortissement et des taxes de vente payées sur les biens d'investissement.	0.5305
671	2-1*	[486:488]|subS[0:2/6]	[488:490]|subT[0:1/4]	The productivity super-deduction will reduce Canada's METR by more than two percentage points, strengthening our competitiveness with the U. S. following measures implemented in the One Big Beautiful Bill Act (OBBBA).	La superdéduction à la productivité réduira de plus de 2 points de pourcentage le TEMI du Canada, ce qui renforcera notre compétitivité par rapport aux États-Unis, à la suite des mesures mises en œuvre dans le cadre du One Big Beautiful Bill Act (OBBBA).	0.6974
672	1-1*	[486:488]|subS[2:3/6]	[488:490]|subT[1:2/4]	Moreover, Canada will have the lowest METR in the G7 and below the OECD average.	De plus, le Canada aura le TEMI le plus bas du G7, inférieur à la moyenne de l'OCDE.	0.6588
673	1-1*	[486:488]|subS[3:4/6]	[488:490]|subT[2:3/4]	This means that businesses can invest and scale more easily and that Canada will remain an attractive destination for investment.	Cela signifie qu'il est plus facile pour les entreprises d'investir et de prendre de l'expansion au Canada, qui demeurera ainsi une destination de choix pour les investissements.	0.6314
674	2-1*	[486:488]|subS[4:6/6]	[488:490]|subT[3:4/4]	With the productivity super-deduction, Canada's METRs are competitive with those in the U. S. across most sectors, particularly in manufacturing and processing.	Grâce à la superdéduction à la productivité, les TEMI du Canada sont concurrentiels avec ceux des États-Unis dans la plupart des secteurs, et en particulier dans ceux de la fabrication et de la transformation.	0.5333
675	2-1*	[488:489]|subS[0:2/3]	[490:491]|subT[0:1/2]	Canada has a lower METR than the U. S., reflecting the value-added taxes employed federally and in most provinces in Canada, rather than retail sales taxes that apply in the U. S.	Le Canada bénéficie d'un TEMI plus bas que celui des États-Unis, qui tient compte des taxes sur la valeur ajoutée utilisées au niveau fédéral et dans la plupart des provinces canadiennes, plutôt que des taxes sur la vente au détail qui existent aux États-Unis.	0.6720
676	1-1*	[488:489]|subS[2:3/3]	[490:491]|subT[1:2/2]	Canadian provinces also fully align with federal expensing policies and in some cases employ investment tax incentives of their own, which contribute to competitiveness.	Les provinces canadiennes s'alignent intégralement sur les politiques fédérales relatives à la passation en charges, et dans certains cas, elles utilisent leurs propres incitatifs fiscaux à l'investissement, ce qui contribue à la compétitivité.	0.5822
677	1-1	[489:490]	[491:492]	Canada's METR is below the average of OECD countries, resulting from generous expensing policies in Canada and lower statutory rates compared to some other countries.	Le TEMI du Canada est inférieur à la moyenne des pays de l'OCDE, grâce à des politiques généreuses relatives à la passation en charges et à des taux d'imposition plus bas que d'autres pays.	0.6320
678	2-2	[490:492]	[492:494]	Investing Where It Counts: Catalysing Private Investment Through Accelerated Depreciation and Immediate Expensing Private investment in new machinery, buildings, and technology is one of the most effective ways to increase productivity, helping workers produce more in less time and boosting Canada's long-term growth.	Investir là où ça compte : catalyser les investissements privés grâce à l'amortissement accéléré et la passation en charges immédiate Les investissements privés dans de nouvelles machines, installations et technologies constituent l'un des moyens les plus efficaces d'accroître la productivité, d'aider les travailleurs à produire davantage en moins de temps et de dynamiser la croissance à long terme du Canada.	0.5701
679	1-1	[492:493]	[494:495]	Immediate expensing and other forms of accelerated depreciation make it easier and more attractive for businesses to invest by allowing them to deduct the full cost of new assets more quickly. This lowers the cost of capital, strengthens the business case for modern equipment, and encourages companies to invest and expand in Canada.	La passation en charges immédiate et d'autres formes d'amortissement accéléré favorisent les investissements en permettant aux entreprises de déduire le coût de nouveaux actifs plus rapidement. Cette approche fait diminuer le coût du capital, renforce la justification économique de l'acquisition d'équipement moderne et encourage les entreprises à investir et à prendre de l'expansion au Canada.	0.5928
680	2-1*	[493:495]|subS[0:2/4]	[495:497]|subT[0:1/3]	The $2.7 billion in average annual support for investment provided through the accelerated depreciation and immediate expensing measures included in Budget 2025 will crowd-in private capital investment and could generate an economic output of up to about	Le soutien annuel moyen à l'investissement de 2,7 milliards de dollars accordé au moyen des mesures d'amortissement accéléré et de passation en charges immédiate prévues dans le budget de 2025 mobilisera des investissements en capital privé et produira des retombées économiques pouvant aller jusqu'à environ 9 milliards de dollars par année au cours des 10 prochaines années.	0.5959
681	1-1*	[493:495]|subS[2:3/4]	[495:497]|subT[1:2/3]	$9 billion annually over the next ten years. These measures would mean most assets in the manufacturing sector would be eligible for immediate expensing—lowering the cost of capital and unlocking billions in private investment.	Ces mesures permettront la passation en charges immédiate de la majeure partie des actifs utilisés dans le secteur de la fabrication, ce qui fera diminuer le coût du capital et débloquera des milliards de dollars d'investissements privés.	0.4030
682	1-1*	[493:495]|subS[3:4/4]	[495:497]|subT[2:3/3]	Enhancing the Scientific Research and Experimental Development Tax Incentives	Bonifier les encouragements fiscaux pour la recherche scientifique et le développement expérimental	0.5244
683	1-1	[495:496]	[497:498]	Innovation and scientific discovery are the foundation of long-term economic growth. Science fuels innovation, and innovation fuels productivity, helping Canada stay competitive in a fast-changing global economy.	L'innovation et la découverte scientifique sont les bases d'une croissance économique à long terme. La science alimente l'innovation, et l'innovation stimule la productivité, contribuant ainsi à maintenir la compétitivité du Canada dans une économie mondiale en évolution rapide.	0.6900
684	1-1	[496:497]	[498:499]	The Scientific Research and Experimental Development (SR&ED) tax incentive program has helped Canadian businesses of all sizes conduct new and advanced research. Small businesses have benefited the most, accounting for 64 per cent of all claims filed and receiving roughly $1.5 billion in support in 2024-25.	Le programme d'encouragements fiscaux pour la recherche scientifique et le développement expérimental (RS&DE) aide les entreprises canadiennes de toutes tailles à mener des recherches nouvelles et de pointe. Ce programme bénéficie le plus aux petites entreprises, qui ont été à l'origine de 64 % de toutes les demandes présentées et qui ont reçu un soutien d'environ 1,5 milliard de dollars en 2024-2025.	0.6036
685	2-2	[497:499]	[499:501]	To support Canadian businesses' ability to conduct innovative research, the government is proceeding with the following previously proposed enhancements to the SR&ED program: Increasing the prior-year taxable capital phase-out thresholds for the SR&ED program's enhanced 35-per-cent tax credit.	Pour renforcer la capacité des entreprises canadiennes en matière de recherche et d'innovation, le gouvernement met en œuvre les améliorations suivantes au programme de RS&DE, annoncées précédemment : Augmenter la fourchette de réduction progressive du capital imposable de l'année précédente aux fins du crédit d'impôt bonifié de 35 % du programme de RS&DE.	0.5649
686	1-1	[499:500]	[501:502]	Increasing the annual expenditure limit on which the enhanced credit can be earned, from $3 million to $4.5 million.	Faire passer de 3 millions de dollars à 4,5 millions de dollars la limite de dépenses annuelles auxquelles le crédit bonifié peut être appliqué.	0.6220
687	2-2	[500:502]	[502:504]	Extending the enhanced credit to eligible Canadian public corporations. Restoring the eligibility of SR&ED capital expenditures.	Élargir le crédit bonifié aux sociétés publiques canadiennes admissibles. Rétablir l'admissibilité des dépenses en capital pour la RS&DE.	0.5502
688	3-1*	[502:504]|subS[0:3/4]	[504:506]|subT[0:1/2]	To encourage investment in Canadian innovation, Budget 2025 also proposes to further increase the annual expenditure limit on which the SR&ED program's enhanced credit can be earned from $4.5 million (as previously announced) to $6 million, effective for taxation years that begin on or after December 16,2024.	Pour encourager les investissements dans l'innovation au Canada, le budget de 2025 propose aussi de rehausser encore plus le plafond des dépenses annuelles admissibles au crédit bonifié du programme de RS&DE, afin de le faire passer de 4,5 millions de dollars (comme annoncé précédemment) à 6 millions de dollars pour les années d'imposition qui commencent le 16 décembre 2024 ou après cette date.	0.6386
689	1-1*	[502:504]|subS[3:4/4]	[504:506]|subT[1:2/2]	Investing Where It Counts: Economic Benefits of Supporting R&D	Investir là où ça compte : les avantages économiques du soutien à la R-D	0.5752
690	2-2	[504:506]	[506:508]	Investments in research and development (R&D) are known to improve firm performance. Firms undertaking R&D to innovate consistently achieve higher productivity growth, and these benefits are amplified for firms making complementary investments in other technologies or adopting better business strategies. Firms conducting R&D are also more likely to enter export markets. The benefits of R&D are not limited to within firms. Studies have documented broad benefits from R&D that spread across the economy. The Scientific Research and Experimental Development (SR&ED) tax incentive program, already providing $4.2 billion in annual support, is the federal government's single most important tool to encourage business R&D.	Il est notoire que les investissements en recherche et développement (R-D) améliorent le rendement des entreprises. En effet, on observe systématiquement une plus forte croissance de la productivité chez les entreprises qui font de la R-D pour innover, et cet avantage est amplifié lorsque l'entreprise fait des investissements complémentaires dans d'autres technologies ou adopte de meilleures stratégies d'affaires. Les entreprises qui font de la R-D sont aussi plus susceptibles de se lancer sur les marchés d'exportation. Or, les retombées de la R-D ne profitent pas uniquement à ces entreprises. Des études ont démontré que toute l'économie en tire largement profit. Le programme d'encouragements fiscaux pour la recherche scientifique et le développement expérimental (RS&DE) accorde déjà un soutien s'élevant à 4,2 milliards de dollars par année, ce qui en fait le plus important outil du gouvernement fédéral pour encourager la R-D dans les entreprises.	0.4848
691	1-1*	[506:508]|subS[0:1/4]	[508:510]|subT[0:1/3]	Budget 2025 confirms the implementation of previously announced SR&ED enhancements and proposes to further increase the enhanced rate expenditure limit, to help innovative businesses scale up and grow. This additional government investment of	Le budget de 2025 confirme la mise en œuvre des améliorations annoncées précédemment au programme de RS&DE et propose de rehausser encore davantage le plafond des dépenses admissibles au crédit bonifié, afin d'aider les entreprises novatrices à croître et à prendre de l'expansion.	0.6090
692	2-1*	[506:508]|subS[1:3/4]	[508:510]|subT[1:2/3]	$ 440 million on an ongoing basis is expected to catalyse private sector R&D investment, generating an economic output of	Les 440 millions de dollars de plus que le gouvernement injectera de façon récurrente devraient mobiliser des investissements privés en R-D qui produiront des retombées économiques annuelles de 1,2 milliard de dollars, soit un rendement pour l'économie canadienne qui correspond environ au triple de l'investissement réalisé.	0.3575
693	1-1*	[506:508]|subS[3:4/4]	[508:510]|subT[2:3/3]	$1.2 billion a year—about a three-time return for Canada's economy. These enhancements are on top of revamping the SR&ED administration process—providing businesses with greater certainty and speed when making investment and R&D decisions. The government has listened to innovators and builders that a burdensome administrative process for applying to the SR&ED program has limited its impact in driving investment in Canada. The Canada Revenue Agency (CRA) will implement transformational reforms to the administration of the SR&ED program. The reforms will provide businesses with greater confidence to invest in R&D projects, enhancing Canada's innovation strategy.	Ces bonifications s'ajoutent à la refonte de l'administration du programme de RS&DE, qui procurera aux entreprises la certitude voulue pour prendre rapidement des décisions en matière d'investissement et de R-D. Le gouvernement a écouté les innovateurs et les constructeurs qui ont signalé que la lourdeur administrative du processus de demande au programme de RS&DE a limité l'effet de celui-ci pour stimuler l'investissement au Canada. L'Agence du revenu du Canada (ARC) réformera en profondeur l'administration du programme. Ces réformes permettront aux entreprises d'investir avec plus de confiance dans des projets de R-D, ce qui renforcera la stratégie d'innovation du Canada.	0.4684
694	1-1*	[508:509]|subS[0:1/5]	[510:511]|subT[0:1/5]	Budget 2025 announces, to improve predictability and streamline administration of the SR&ED program, the government's intention for the CRA to:	Le budget de 2025 annonce que, pour accroître la prévisibilité et simplifier la gestion du programme de RS&DE, le gouvernement a l'intention de demander à l'ARC de :	0.5412
695	1-1*	[508:509]|subS[1:2/5]	[510:511]|subT[1:2/5]	Implement an elective pre-claim approval process to provide businesses with an up-front technical approval of their eligible SR&ED projects, before businesses undertake any work or incur costs.	mettre en place un processus d'approbation préalable facultatif afin que les entreprises puissent obtenir une approbation technique initiale pour leurs projets de RS&DE admissibles, avant de commencer les travaux ou d'engager des dépenses.	0.5355
696	1-1*	[508:509]|subS[2:3/5]	[510:511]|subT[2:3/5]	For claims submitted through this elective process that require an expenditure review, processing time will be cut in half to 90 days from 180 days.	Pour les demandes présentées selon ce processus facultatif et qui exigent un examen des dépenses, le temps de traitement sera réduit de moitié, en passant de 180 jours à 90 jours;	0.6194
697	1-1*	[508:509]|subS[3:4/5]	[510:511]|subT[3:4/5]	Increase the use of artificial intelligence in the program's administration, which will enable the CRA to avoid subjecting low risk claims to unnecessary audit interventions, allowing them to be processed faster.	recourir davantage à l'intelligence artificielle dans l'administration du programme, pour éviter de soumettre des demandes à faible risque à des vérifications inutiles et traiter les demandes plus rapidement;	0.5068
698	1-1*	[508:509]|subS[4:5/5]	[510:511]|subT[4:5/5]	Streamline the review process by eliminating unnecessary steps and reducing burdensome information requirements that can delay the final determination of claims.	simplifier le processus d'examen en éliminant les étapes inutiles et en réduisant la complexité des renseignements exigés, afin d'accélérer la prise d'une décision définitive au sujet de la demande.	0.5147
699	2-2	[509:511]	[511:513]	These improvements do not carry a fiscal cost and will be implemented into SR&ED program operations as of April 1, 2026. Additionally, the CRA intends to engage in targeted consultations to further improve the administration of the SR&ED program, including by reviewing the SR&ED claim form (Form T661).	Les améliorations ci-dessus n'entraînent aucun coût budgétaire et seront intégrées au programme de RS&DE à compter du 1 er avril 2026. De plus, l'ARC compte mener des consultations ciblées pour améliorer l'administration du programme pour la RS&DE, notamment en examinant le formulaire de demande pour les dépenses de RS&DE (formulaire T661).	0.5204
700	1-1*	[511:513]|subS[0:1/3]	[513:515]|subT[0:1/3]	Seizing the Full Potential of Artificial Intelligence The transformative nature of artificial intelligence (AI) can create opportunities for millions of Canadians, businesses, and the economy.	Tirer pleinement parti de l'intelligence artificielle La nature transformatrice de l'intelligence artificielle (IA) offre de nouvelles perspectives pour des millions de Canadiens, pour les entreprises et pour toute l'économie.	0.5939
701	1-1*	[511:513]|subS[1:2/3]	[513:515]|subT[1:2/3]	Budget 2025 helps Canada build necessary AI compute infrastructure, including the development of a Sovereign Canadian Cloud.	Le budget de 2025 aide le Canada à bâtir l'infrastructure de calcul nécessaire pour l'IA, notamment par la création d'un nuage souverain canadien.	0.6891
702	1-1*	[511:513]|subS[2:3/3]	[513:515]|subT[2:3/3]	This will help businesses seize the opportunities from AI, creating new jobs and economic growth.	Il permettra aux entreprises de mieux en tirer parti et de stimuler la création de nouveaux emplois et la croissance économique.	0.4437
703	1-1*	[513:514]|subS[0:1/6]	[515:516]|subT[0:1/5]	Budget 2025 proposes to provide	Le budget de 2025 propose d'accorder	0.7017
704	3-3*	[513:514]|subS[1:4/6]	[515:516]|subT[1:4/5]	$ 9 25.6 million over five years, starting in 2025-26, to support a large-scale sovereign public AI infrastructure that will boost AI compute availability and support access to sovereign AI compute capacity for public and private research. The investment will ensure Canada has the capacity needed to be globally competitive in a secure and sovereign environment. Of this amount,	925,6 millions de dollars sur cinq ans, à compter de 2025-2026, pour soutenir une infrastructure publique de calcul à grande échelle pour l'IA. Celle-ci augmentera la capacité nationale de calcul souveraine et facilitera l'accès à celle-ci aux fins de recherches privées et publiques. Grâce à cet investissement, le Canada s'assurera d'avoir la capacité dont il a besoin pour être compétitif à l'échelle mondiale, dans un environnement sûr et souverain.	0.5801
705	2-1*	[513:514]|subS[4:6/6]	[515:516]|subT[4:5/5]	$ 800 million will be sourced from funds previously provisioned in the fiscal framework.	De ce montant, 800 millions de dollars proviendront de fonds affectés précédemment dans le cadre financier.	0.7346
706	1-1	[514:515]	[516:517]	Budget 2025 announces that the Minister of Artificial Intelligence and Digital Innovation will engage with industry to identify new promising AI infrastructure projects and enter into Memoranda of Understanding with those projects.	Le budget de 2025 annonce que le ministre de l'Intelligence artificielle et de l'Innovation numérique consultera l'industrie pour trouver de nouveaux projets prometteurs liés à l'infrastructure d'IA, et à conclure des protocoles d'entente à l'égard de ces projets.	0.6662
707	2-2	[515:517]	[517:519]	Budget 2025 also announces the government's intention to enable the Canada Infrastructure Bank to invest in AI infrastructure projects. Understanding the broader effects of AI is also essential, helping to guide our efforts to maximise its benefits.	Le budget de 2025 annonce également que le gouvernement a l'intention d'autoriser la Banque de l'infrastructure du Canada à investir dans des projets d'infrastructure en IA. Il est essentiel de comprendre les effets généraux de l'IA, car ils guideront les mesures visant à en exploiter au maximum les avantages.	0.6810
708	1-1*	[517:518]|subS[0:1/3]	[519:520]|subT[0:1/3]	Budget 2025 proposes to allocate	Le budget de 2025 propose d'accorder	0.6772
709	1-1*	[517:518]|subS[1:2/3]	[519:520]|subT[1:2/3]	$25 million over six years, starting in 2025-26, and	25 millions de dollars sur six ans, à compter de 2025-2026, et	0.7106
710	1-1*	[517:518]|subS[2:3/3]	[519:520]|subT[2:3/3]	$4.5 million ongoing for Statistics Canada to implement the Artificial Intelligence and Technology Measurement Program (TechStat). TechStat will use data and insights to measure how AI is used by organisations, and understand its impact on Canadian society, the labour force, and the economy. This amount will be fully sourced from existing departmental resources.	4,5 millions de dollars par année par la suite, à Statistique Canada pour mettre en place le Programme de mesure des technologies et de l'intelligence artificielle (TechStat) . TechStat se servira de données et d'informations pour mesurer comment les organisations utilisent l'IA et en comprendre les répercussions sur la société canadienne, la main-d'œuvre et l'économie. Ce montant proviendra entièrement des ressources ministérielles existantes.	0.6383
711	1-1	[518:519]	[520:521]	The government will also explore options for the National Research Council of Canada's Canadian Photonics Fabrication Centre to best position it to attract private capital, scale its operations, and serve as a platform for Canadian innovation and new photonic applications, including in the face of the rise of AI and related compute infrastructure.	De plus, le gouvernement examinera des options pour le Centre de fabrication pour la photonique du Centre national de recherches Canada afin qu'il puisse attirer des capitaux privés, élargir ses activités et servir de catalyseur pour l'innovation au Canada et le développement de nouvelles applications photoniques, notamment devant l'importance grandissante de l'IA et de l'infrastructure de calcul connexe.	0.6548
712	1-1*	[519:521]|subS[0:1/3]	[521:523]|subT[0:1/3]	Investing Where It Counts: Economic Benefits of AI and Quantum AI has the potential to revolutionise business processes in all manner of industries, allowing for increased automation and significant increases in productivity.	Investir là où ça compte : les retombées économiques de l'IA et des technologies quantiques L'IA pourrait révolutionner les méthodes de travail dans toutes sortes de secteurs, en donnant lieu à une automatisation accrue et à de fortes hausses de la productivité.	0.5528
713	1-1*	[519:521]|subS[1:2/3]	[521:523]|subT[1:2/3]	The OECD estimates that adoption of AI adoption could raise productivity growth by 1.1 percentage points annually over the next 10 years.	Selon l'OCDE, l'adoption de l'IA pourrait faire augmenter de 1,1 point de pourcentage par année la croissance de la productivité au cours des 10 prochaines années.	0.6495
714	1-1*	[519:521]|subS[2:3/3]	[521:523]|subT[2:3/3]	Quantum is a similarly transformative technology: computing problems that are currently considered to be intractable even with the most powerful classical computers could be solved using quantum computers, including in such areas as cybersecurity, finance, and logistics.	L'informatique quantique est une technologie tout aussi transformatrice : les ordinateurs quantiques devraient pouvoir résoudre des problèmes actuellement considérés comme insolubles par les ordinateurs classiques, même les plus puissants, y compris dans des domaines comme la cybersécurité, les finances et la logistique.	0.5860
715	1-1	[521:522]	[523:524]	Countries that lead in game-changing technologies such as these can unlock significant economic benefits through commercialising the associated intellectual property and being among the first to put it to use.	Les pays chefs de file dans des technologies qui changent la donne comme celles-ci pourront tirer de grands avantages économiques de la commercialisation de la propriété intellectuelle qui s'y rattache et de leur rôle de précurseur dans leur utilisation.	0.5672
716	1-1*	[522:523]|subS[0:1/7]	[524:525]|subT[0:1/3]	With an investment of	En investissant	0.5388
717	3-1*	[522:523]|subS[1:4/7]	[524:525]|subT[1:2/3]	$ 9 25.6 million over five years to build a large-scale sovereign compute capacity, Budget 2025 is providing AI infrastructure to further support sovereign AI capacity in Canada and ensure a successful Canadian AI ecosystem. Budget 2025 also proposes to provide, through the Defence Industrial Strategy,	925,6 millions de dollars sur cinq ans pour bâtir une infrastructure de calcul souveraine à grande échelle, le budget de 2025 met en place l'infrastructure nécessaire pour mieux soutenir des capacités souveraines d'IA au Canada et assurer la réussite de l'écosystème canadien de l'IA. Le budget de 2025 propose aussi de consacrer	0.5907
718	3-1*	[522:523]|subS[4:7/7]	[524:525]|subT[2:3/3]	$ 3 34.3 million over five years to strengthen Canada's quantum ecosystem.	334,3 millions de dollars sur cinq ans au renforcement de l'écosystème canadien des technologies quantiques, dans le cadre de la Stratégie industrielle de défense.	0.4812
719	1-1	[523:524]	[525:526]	This fall, the government launched consultations to inform the next chapter of Canada's AI leadership and will develop a new AI strategy by the end of 2025. The government will also consider whether new AI incentives and supports should be provided.	À l'automne, le gouvernement a lancé des consultations pour guider le prochain volet du leadership canadien en matière d'IA et il mettra au point une nouvelle stratégie en matière d'IA d'ici la fin de 2025. Le gouvernement déterminera aussi si de nouveaux incitatifs et soutiens à l'IA devraient être fournis.	0.6718
720	2-2	[524:526]	[526:528]	Protecting Canadian Intellectual Property Intellectual property output and ownership is central to Canada's innovation agenda. Clear pathways to generate and retain intellectual property in Canada and transparency in the intellectual property system are essential to Canada's innovators and academic community.	Protéger la propriété intellectuelle du Canada Les produits et les droits de propriété intellectuelle sont au cœur du programme d'innovation du Canada. Il est donc essentiel pour les innovateurs et le milieu universitaire d'avoir des voies claires régissant la création et la conservation de la propriété intellectuelle au pays, et pour assurer la transparence du système de propriété intellectuelle.	0.6504
721	1-1*	[526:528]|subS[0:1/5]	[528:530]|subT[0:1/3]	To ensure Canada's innovation ecosystem is equipped to protect Canadian intellectual property, and support Canadian SMEs to commercialise and leverage their intangible assets to compete in the global marketplace: Budget 2025 proposes to provide	Pour veiller à ce que l'écosystème canadien de l'innovation soit en mesure de protéger la propriété intellectuelle au pays et pour aider les petites et moyennes entreprises à commercialiser leurs actifs immatériels et à en tirer profit afin de soutenir la concurrence sur le marché mondial, le gouvernement propose ce qui suit dans le budget de 2025 :	0.6069
722	2-1*	[526:528]|subS[1:3/5]	[528:530]|subT[1:2/3]	$ 84.4 million over four years, starting in 2026-27, to Innovation, Science and Economic Development Canada to extend the Elevate IP program, as well as	Fournir un financement de 84,4 millions de dollars sur quatre ans, à compter de 2026-2027, à Innovation, Sciences et Développement économique Canada pour prolonger le programme ÉleverlaPI, ainsi que	0.5447
723	2-1*	[526:528]|subS[3:5/5]	[528:530]|subT[2:3/3]	$ 22.5 million over three years, starting in 2026-27, to renew support for the Innovation Asset Collective's Patent Collective.	22,5 millions de dollars sur trois ans, à compter de 2026-2027, pour renouveler l'appui du portefeuille de brevets du Collectif d'actifs en innovation.	0.6510
724	1-1	[528:529]	[530:531]	Budget 2025 proposes to provide $75 million over three years, starting in 2026-27, to the National Research Council to extend the IP Assist Program.	Accorder la somme de 75 millions de dollars sur trois ans, à compter de 2026-2027, au Conseil national de recherches pour prolonger l'initiative Assistance PI.	0.5857
725	2-2	[529:531]	[531:533]	To further strengthen the intellectual property ecosystem in Canada, the government will conduct an intellectual property performance review to identify new ways to partner with emerging and scaling intellectual property-intensive firms, increase domestic investment in leading and high-potential firms, retain and commercialise intellectual property in Canada, and help firms to protect and commercialise their intellectual property in foreign markets to advance trade diversification. Finally, the government is committed to improving legal certainty and transparency in the intellectual property system to help facilitate more intellectual property-backed lending and limit abusive behaviour.	Pour renforcer l'écosystème de propriété intellectuelle au Canada, le gouvernement mènera un examen du rendement de la propriété intellectuelle qui recherchera de nouveaux moyens d'établir des partenariats avec des entreprises émergentes et en croissance à forte intensité de propriété intellectuelle. Il cherchera également à accroître les investissements intérieurs dans les entreprises de pointe et à potentiel élevé, à conserver et à commercialiser la propriété intellectuelle au Canada, et à aider les entreprises à protéger et à commercialiser leur propriété intellectuelle sur les marchés étrangers pour favoriser la diversification commerciale. En dernier lieu, le gouvernement est déterminé à améliorer la certitude et la transparence juridiques du système de propriété intellectuelle pour faciliter davantage de prêts reposant sur la propriété intellectuelle et limiter les comportements abusifs.	0.6021
